date,time,pulse_type,A,l,p,x0,B,pi_amp,half_amp,drive_freq,duration,sigma,rb,job_id
2023-04-08,202636,lor,-0.47,12.499541037119046,12.76028145802163,0.009302034548631,0.45,0.0319869456053302,0.0198265264689201,4962286461.59605,1600,192.0,1,
2023-04-09,95848,sech2,-0.47,17.52883189372095,30.47032911614039,0.0041271589219751,0.45,0.0106090518951025,0.0072083387145775,4962286659.0800905,3200,800.0,0,
2023-04-09,100046,demkov,-0.47,17.6249806216769,26.825621385425265,0.0045012587449375,0.45,0.0118194457539779,0.0079810562321056,4962286659.0800905,3200,800.0,0,
2023-04-10,133318,sech,-0.47,16.839200798545082,100.0,-0.0003437645338976,0.5499999999999999,0.0017211186614716,0.0006354746977833,4962770879.920025,3200,800.0,0,
2023-05-18,115920,sq,-0.4815959941663435,165.23921264958693,0.4121275496785903,0.0013321276715258,0.4896960715598384,0.0479086094621145,0.0245086132089856,4962290938.536527,320,320.0,0,chiuhrlnopt07g0u2cn0
2023-05-18,115937,lor,-0.4806971216324476,9999.996765996346,0.0176499994904775,0.0026878232114598,0.4894763495332395,0.0204900177961983,0.0115882213032233,4962290938.536527,2560,320.0,0,chiui3upqnphtdsh5gpg
2023-05-18,120007,lor3,-0.4788945987080135,9995.236849583272,0.007769554600511,0.0036811352279634,0.4864795569802018,0.0441414186076183,0.023909687039158,4962290938.536527,2560,320.0,0,chiui8s6f7i49rvml1mg
2023-05-18,120014,sech,-0.4793697920436973,1629.169341568548,0.1260256704311992,0.0024120310857807,0.4909009488477131,0.0177279725568533,0.0100663064646811,4962290938.536527,2560,320.0,0,chiuia6pqnphtdsh5op0
2023-05-18,120014,sech2,-0.4816124190309272,1351.8215041208712,0.0983401868929373,0.002931452457871,0.4908094778156713,0.0265909014289023,0.0147542959649686,4962290938.536527,2560,320.0,0,chiuia2ae4cj9g9jdpv0
2023-05-18,120000,lor2,-0.4815836004844439,9999.999999992404,0.0103291555479259,0.0037487180108809,0.4918344848051735,0.0341683028705775,0.0189573156787475,4962290938.536527,2560,320.0,0,chiuia37ca17j3374330
2023-05-18,120016,gauss,-0.4796555739990403,2433.497611379441,0.0485304787097607,0.0025179562955911,0.4914675138020793,0.0291365346179699,0.0158229471810583,4962290938.536527,2560,320.0,0,chiuib1ike34bjne8cug
2023-05-18,120019,demkov,-0.4808086157489958,9999.999999999998,0.0130664931699474,0.0034343647183158,0.4911039456727331,0.0274812623542841,0.0154568690684818,4962290938.536527,2560,320.0,0,chiuibdnopt07g0u2v80
2023-05-20,13902,lor2,-0.474611984601848,1251.4586132621123,0.0495599975783197,0.0037723175879087,0.5018198340144298,0.0544886441952966,0.0291145464534394,4962288838.772178,1776,192.0,0,chjvl35nopt07g2akjg0
2023-05-20,13900,lor,-0.4716991921076494,9999.999999974736,0.011916035196106,0.0087940503800367,0.4898493178140942,0.0351626048991078,0.0219772919861687,4962288838.772178,8576,192.0,0,"chjvl2mpqnphtdtvr0j0,chjvl2r7ca17j34jj2cg,chjvl32ae4cj9gb0t4ag,chjvl31ike34bjgrt68g"
2023-05-20,13910,lor3,-0.4762368988412556,9999.99999999917,0.0046612866567844,0.0028434226334072,0.4961771561947208,0.0702515540903274,0.0365448408348516,4962288838.772178,1008,192.0,0,chjvl6k6f7i49rp57osg
2023-05-20,13914,sech,-0.4787535567638141,9999.999997754248,0.012461571034123,0.0032350002086776,0.4927462050286904,0.0284492065819391,0.0158411130801724,4962288838.772178,2656,192.0,0,"chjvl71ike34bjgrtd0g,chjvl7b7ca17j34jj9mg"
2023-05-20,13920,sech2,-0.4783796296861465,923.0734880964172,0.0865773934219736,0.0029105983913848,0.4900998559995401,0.0422881925606025,0.0225826146757892,4962288838.772178,1456,192.0,0,chjvl8epqnphtdtvra70
2023-05-20,13928,gauss,-0.4788518938437877,1119.3524303986296,0.0632261530825789,0.0021440174897087,0.4875674027672842,0.0465965420411728,0.0243546626978625,4962288838.772178,960,192.0,0,chjvl9mpqnphtdtvrcbg
2023-05-20,25622,demkov,-0.4783612505733126,9999.999835954197,0.0079058426718903,0.0041471859369438,0.4883470148658896,0.0438910363921606,0.024017550181971,4962288838.772178,2384,192.0,0,chk0paqae4cj9gb2loag
2023-05-20,101547,sq,-0.479380456887936,419.1631352890144,0.0957564968883284,0.0003302995697281,0.4885304044998471,0.0788956675100876,0.0395391013880517,4962291652.787664,192,192.0,0,chk77b6pqnphtdu92bf0
2023-05-23,160635,lor,-0.4793602114293946,9999.999999999198,0.018766361911268212,0.003638873361732607,0.48967133205598373,0.02038205593513538,0.012009807041892565,4962287341.966912,4000,320.0,0,"chmbkpaae4cj9gcrcf50,chmbkpiae4cj9gcrcfd0"
